algorithm,conv_kernel_size,dropout,filename,filters,inp_size,internal_size,l1_lambda,loss,lr,mode,model,num_gates,num_gnn,num_neighbours,out_size,pool_size,separate_sets,smoothing,split,trainer,trial_no,use_l1_reg,use_validation,use_weights
"euclidean","10","0.170935258887909","MiceBL.csv","20","10346","100","7.791256186431702e-05","0.4424091577529907","0.005670112051318274","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","0","True","True","True"
"euclidean","10","0.4691800988058209","MiceBL.csv","20","10346","100","0.0005722942554984056","0.4066588282585144","0.005577581045123799","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1","True","True","True"
"euclidean","10","0.03138292036591056","MiceBL.csv","20","10346","100","0.0006350447331462439","1.509641170501709","0.0061971506139722006","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","2","True","True","True"
"euclidean","10","0.3959598136946208","MiceBL.csv","20","10346","100","0.000784690092654344","1.133164405822754","0.005068952370404511","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","3","True","True","True"
"euclidean","10","0.10545477096885436","MiceBL.csv","20","10346","100","0.000813940850326115","3.443938970565796","0.0038338724101232343","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","4","True","True","True"
"euclidean","10","0.49130818822057815","MiceBL.csv","20","10346","100","0.0006079463028901754","0.8791471123695374","0.00745924413962862","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","14","True","True","True"
"euclidean","10","0.1671856186437471","MiceBL.csv","20","10346","100","0.0005826671552707825","0.4152931272983551","0.005956545895531876","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","16","True","True","True"
"euclidean","10","0.40124869144037545","MiceBL.csv","20","10346","100","0.0005548287110371411","4.43648624420166","0.0068488310263798355","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","18","True","True","True"
"euclidean","10","0.2279515270863942","MiceBL.csv","20","10346","100","0.0009120425422407402","0.6260313391685486","0.008318740090412826","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","20","True","True","True"
"euclidean","10","0.11609790140327984","MiceBL.csv","20","10346","100","0.0008214197493997516","2.0153896808624268","0.005167279095520132","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","35","True","True","True"
"euclidean","10","0.47969289073350413","MiceBL.csv","20","10346","100","0.0006076495823638845","0.7595505118370056","0.007139907594706719","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","49","True","True","True"
"euclidean","10","0.07190722641740577","MiceBL.csv","20","10346","100","0.0006945422388028227","3.545727014541626","0.007695932217295067","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","75","True","True","True"
"euclidean","10","0.05798274806056012","MiceBL.csv","20","10346","100","0.0008152158662721252","3.595573902130127","0.005224616897448807","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","82","True","True","True"
"euclidean","10","0.44910173756169025","MiceBL.csv","20","10346","100","0.0008680615537076202","0.5846390724182129","0.005800191088559946","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","93","True","True","True"
"euclidean","10","0.1884413374756094","MiceBL.csv","20","10346","100","0.0002592847503370817","1.100681185722351","0.0070614521694020455","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","107","True","True","True"
"euclidean","10","0.2439957815005515","MiceBL.csv","20","10346","100","0.00015993942575481232","0.354253351688385","0.006631996870386143","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","108","True","True","True"
"euclidean","10","0.375080444288932","MiceBL.csv","20","10346","100","0.0005398496327006385","0.6167331337928772","0.006227959499551289","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","153","True","True","True"
"euclidean","10","0.4408730926482465","MiceBL.csv","20","10346","100","0.0005689342515397532","0.5276585221290588","0.006641343400438549","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","164","True","True","True"
"euclidean","10","0.44305834491190427","MiceBL.csv","20","10346","100","0.00032210860821623344","3.212883710861206","0.006543205489369709","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","168","True","True","True"
"euclidean","10","0.014501782033187863","MiceBL.csv","20","10346","100","0.0009113299243856883","0.6681075692176819","0.005927355010155591","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","206","True","True","True"
"euclidean","10","0.01157242997864827","MiceBL.csv","20","10346","100","0.0009059259679200894","0.4491059482097626","0.005454581564549189","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","213","True","True","True"
"euclidean","10","0.35952112923817814","MiceBL.csv","20","10346","100","0.0008915324325802733","0.7449259161949158","0.0038185452083554844","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","217","True","True","True"
